+41998493975.0ns POS: x=94.84, y=92, z=0; VEL:0, y=0, z=0
+42000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+42000000000.0ns POS: x=94.84, y=92, z=0; VEL:9.51, y=0, z=0
+42000000000.0ns POS: x=92, y=115.06, z=0; VEL:0, y=-0.45, z=0
+42996845425.0ns POS: x=104.32, y=92, z=0; VEL:0, y=0, z=0
+43000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+43000000000.0ns POS: x=104.32, y=92, z=0; VEL:10.89, y=0, z=0
+43000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+43998163452.0ns POS: x=115.19, y=92, z=0; VEL:0, y=0, z=0
+44000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+44000000000.0ns POS: x=115.19, y=92, z=0; VEL:11.15, y=0, z=0
+44000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+45000000000.0ns POS: x=126.34, y=92, z=0; VEL:0, y=0, z=0
+45000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+45000000000.0ns POS: x=126.34, y=92, z=0; VEL:9.73, y=0, z=0
+45000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+46000000000.0ns POS: x=136.07, y=92, z=0; VEL:0, y=0, z=0
+46000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+46000000000.0ns POS: x=136.07, y=92, z=0; VEL:9.98, y=0, z=0
+46000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+47000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+47000000000.0ns POS: x=146.05, y=92, z=0; VEL:10.15, y=0, z=0
+47000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+48000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+48000000000.0ns POS: x=156.2, y=92, z=0; VEL:10.77, y=0, z=0
+48000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+49000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+49000000000.0ns POS: x=166.97, y=92, z=0; VEL:11.1, y=0, z=0
+49000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+50000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+50000000000.0ns POS: x=178.07, y=92, z=0; VEL:10.29, y=0, z=0
+50000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+51000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+51000000000.0ns POS: x=188.36, y=92, z=0; VEL:10.25, y=0, z=0
+51000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+52000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+52000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+52001951219.0ns POS: x=198.63, y=92, z=0; VEL:0, y=0, z=0
+53000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+53000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+54000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+54000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+55000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+55000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+56000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+56000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+57000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+57000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+58000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+58000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+59000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+59000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+60000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+60000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+61000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+61000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+62000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+62000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+63000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+63000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+64000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+64000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+65000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+65000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+66000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+66000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+67000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+67000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+68000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+68000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+69000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+69000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+70000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+70000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+71000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+71000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+72000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+72000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+73000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+73000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
