node_ID	Position	Time
11	475:488:0	40
3	516:510:0	40
5	499:488:0	40
8	506:488:0	40
10	489:590:0	40
12	537:511:0	40
7	505:488:0	40
7	499:488:0	40
10	488:587:0	40
3	519:510:0	40
8	503:488:0	40
12	533:511:0	40
13	510:464:0	40
13	509:462:0	40
10	488:589:0	40
5	500:488:0	41
5	503:489:0	41
5	498:488:0	41
7	504:488:0	41
7	502:488:0	41
7	500:488:0	41
7	498:488:0	41
8	511:488:0	41
8	506:488:0	41
8	509:487:0	41
8	506:487:0	41
8	503:489:0	41
9	489:578:0	41
10	489:578:0	41
10	488:579:0	41
12	520:510:0	41
13	511:470:0	41
13	511:467:0	41
3	510:511:0	41
3	512:510:0	41
7	502:488:0	41
8	508:488:0	41
8	504:488:0	41
11	479:488:0	41
11	477:489:0	41
5	498:488:0	41
11	476:489:0	41
11	475:488:0	41
13	511:465:0	41
5	500:488:0	41
7	500:488:0	41
9	488:583:0	41
9	489:584:0	41
10	489:580:0	41
10	488:581:0	41
10	488:583:0	41
10	489:584:0	41
11	478:490:0	41
11	481:488:0	41
12	521:509:0	41
12	523:510:0	41
12	521:511:0	41
12	525:511:0	41
3	515:511:0	41
5	502:488:0	41
7	504:488:0	41
7	498:488:0	41
9	488:579:0	41
5	493:488:0	41
7	493:488:0	41
9	489:580:0	41
9	490:584:0	41
10	488:577:0	41
11	480:490:0	41
11	479:489:0	41
9	489:586:0	41
5	503:488:0	42
5	501:488:0	42
7	503:488:0	42
7	501:488:0	42
7	504:489:0	42
7	501:488:0	42
7	499:488:0	42
8	509:488:0	42
8	507:488:0	42
8	510:487:0	42
8	507:487:0	42
9	489:576:0	42
10	489:568:0	42
10	488:571:0	42
10	489:576:0	42
11	487:489:0	42
11	485:489:0	42
12	514:510:0	42
12	516:510:0	42
12	518:509:0	42
12	519:510:0	42
13	507:488:0	42
13	504:489:0	42
3	488:543:0	42
5	501:488:0	42
5	504:489:0	42
5	499:488:0	42
5	499:488:0	42
8	505:488:0	42
9	490:573:0	42
11	482:488:0	42
13	505:488:0	42
3	490:557:0	42
8	505:488:0	42
11	480:488:0	42
5	497:488:0	42
7	507:488:0	42
9	488:567:0	42
10	490:565:0	42
10	488:567:0	42
10	488:569:0	42
10	489:571:0	42
11	484:489:0	42
11	485:490:0	42
11	483:490:0	42
12	515:509:0	42
3	488:546:0	42
8	511:488:0	42
13	505:488:0	42
5	507:488:0	42
5	503:488:0	42
5	495:489:0	42
7	497:488:0	42
8	503:488:0	42
9	489:568:0	42
