+9000000000.0ns POS: x=520, y=511.2, z=0; VEL:-0.09, y=0, z=0
+9000000000.0ns POS: x=519.63, y=511.2, z=0; VEL:-0.08, y=0, z=0
+9000000000.0ns POS: x=519.26, y=511.2, z=0; VEL:-0.08, y=0, z=0
+9000000000.0ns POS: x=511.2, y=460, z=0; VEL:0, y=0.24, z=0
+9000000000.0ns POS: x=511.2, y=460.9, z=0; VEL:0, y=0.22, z=0
+9000000000.0ns POS: x=511.2, y=461.88, z=0; VEL:0, y=0.23, z=0
+9000000000.0ns POS: x=488.8, y=525, z=0; VEL:0, y=-0.22, z=0
+9000000000.0ns POS: x=488.8, y=524.13, z=0; VEL:0, y=-0.24, z=0
+9000000000.0ns POS: x=488.8, y=523.22, z=0; VEL:0, y=-0.2, z=0
+9999345121.0ns POS: x=944.94, y=508, z=0; VEL:0, y=0, z=0
+9999999999.0ns POS: x=492, y=887.19, z=0; VEL:0, y=0, z=0
+10000000000.0ns POS: x=508, y=31.29, z=0; VEL:0, y=0, z=0
+10000000000.0ns POS: x=492, y=983.02, z=0; VEL:0, y=0, z=0
+10000000000.0ns POS: x=137.72, y=498.4, z=0; VEL:24.7, y=0.000106199, z=0
+10000000000.0ns POS: x=45.0161, y=495.196, z=0; VEL:15.49, y=0.00390287, z=0
+10000000000.0ns POS: x=101.17, y=492, z=0; VEL:21.18, y=0, z=0
+10000000000.0ns POS: x=832.59, y=508, z=0; VEL:-23.9, y=0, z=0
+10000000000.0ns POS: x=944.94, y=508, z=0; VEL:-16.61, y=0, z=0
+10000000000.0ns POS: x=508, y=162.44, z=0; VEL:0, y=18.91, z=0
+10000000000.0ns POS: x=508, y=31.29, z=0; VEL:0, y=15.38, z=0
+10000000000.0ns POS: x=492, y=887.19, z=0; VEL:0, y=-11.98, z=0
+10000000000.0ns POS: x=492, y=983.02, z=0; VEL:0, y=-12.32, z=0
+10000000000.0ns POS: x=450.17, y=488.8, z=0; VEL:0.19, y=0, z=0
+10000000000.0ns POS: x=450.92, y=488.8, z=0; VEL:0.2, y=0, z=0
+10000000000.0ns POS: x=451.61, y=488.8, z=0; VEL:0.19, y=0, z=0
+10000000000.0ns POS: x=519.91, y=511.2, z=0; VEL:-0.1, y=0, z=0
+10000000000.0ns POS: x=519.55, y=511.2, z=0; VEL:-0.08, y=0, z=0
+10000000000.0ns POS: x=519.18, y=511.2, z=0; VEL:-0.09, y=0, z=0
+10000000000.0ns POS: x=511.2, y=460.24, z=0; VEL:0, y=0.23, z=0
+10000000000.0ns POS: x=511.2, y=461.12, z=0; VEL:0, y=0.2, z=0
+10000000000.0ns POS: x=511.2, y=462.11, z=0; VEL:0, y=0.24, z=0
+10000000000.0ns POS: x=488.8, y=524.78, z=0; VEL:0, y=-0.22, z=0
+10000000000.0ns POS: x=488.8, y=523.89, z=0; VEL:0, y=-0.25, z=0
+10000000000.0ns POS: x=488.8, y=523.02, z=0; VEL:0, y=-0.23, z=0
+10999999999.0ns POS: x=492, y=970.7, z=0; VEL:0, y=0, z=0
+10999999999.0ns POS: x=450.36, y=488.8, z=0; VEL:0, y=0, z=0
+10999999999.0ns POS: x=451.12, y=488.8, z=0; VEL:0, y=0, z=0
+10999999999.0ns POS: x=519.47, y=511.2, z=0; VEL:0, y=0, z=0
