% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
9176	0	10	2	0	16	193	1	0	1	801389
9176	0	11	1	0	16	193	1	0	1	12.6725
9176	0	11	2	0	16	193	1	0	1	12.6974
9184	0	3	1	0	16	193	2	0	1	3.44867e+08
9184	0	3	2	0	16	193	2	0	1	7.15411e+09
9184	0	4	1	0	16	193	2	0	1	5.8521e+07
9184	0	4	2	0	16	193	2	0	1	3.44867e+08
9184	0	5	1	0	16	193	2	0	1	1.66245e+07
9184	0	5	2	0	16	193	2	0	1	5.8521e+07
9184	0	6	1	0	16	193	2	0	1	6.26324e+06
9184	0	6	2	0	16	193	2	0	1	1.66245e+07
9184	0	7	1	0	16	193	2	0	1	2.82103e+06
9184	0	7	2	0	16	193	2	0	1	6.26324e+06
9184	0	8	1	0	16	193	2	0	1	1.43727e+06
9184	0	8	2	0	16	193	2	0	1	2.82103e+06
9184	0	9	1	0	16	193	2	0	1	801389
9184	0	9	2	0	16	193	2	0	1	1.43727e+06
9184	0	10	1	0	16	193	2	0	1	478706
9184	0	10	2	0	16	193	2	0	1	801389
9184	0	11	1	0	16	193	2	0	1	12.6725
9184	0	11	2	0	16	193	2	0	1	12.6974
9192	0	3	1	0	16	193	3	0	1	3.44867e+08
9192	0	3	2	0	16	193	3	0	1	7.15411e+09
9192	0	4	1	0	16	193	3	0	1	5.8521e+07
9192	0	4	2	0	16	193	3	0	1	3.44867e+08
9192	0	5	1	0	16	193	3	0	1	1.66245e+07
9192	0	5	2	0	16	193	3	0	1	5.8521e+07
9192	0	6	1	0	16	193	3	0	1	6.26324e+06
9192	0	6	2	0	16	193	3	0	1	1.66245e+07
9192	0	7	1	0	16	193	3	0	1	2.82103e+06
9192	0	7	2	0	16	193	3	0	1	6.26324e+06
9192	0	8	1	0	16	193	3	0	1	1.43727e+06
9192	0	8	2	0	16	193	3	0	1	2.82103e+06
9192	0	9	1	0	16	193	3	0	1	801389
9192	0	9	2	0	16	193	3	0	1	1.43727e+06
9192	0	10	1	0	16	193	3	0	1	478706
9192	0	10	2	0	16	193	3	0	1	801389
9192	0	11	1	0	16	193	3	0	1	12.6725
9192	0	11	2	0	16	193	3	0	1	12.6974
9248	0	3	1	0	16	193	0	1	1	3.44867e+08
9248	0	3	2	0	16	193	0	1	1	7.15411e+09
9248	0	4	1	0	16	193	0	1	1	5.8521e+07
9248	0	4	2	0	16	193	0	1	1	3.44867e+08
9248	0	5	1	0	16	193	0	1	1	1.66245e+07
9248	0	5	2	0	16	193	0	1	1	5.8521e+07
9248	0	6	1	0	16	193	0	1	1	6.26324e+06
9248	0	6	2	0	16	193	0	1	1	1.66245e+07
9248	0	7	1	0	16	193	0	1	1	2.82103e+06
9248	0	7	2	0	16	193	0	1	1	6.26324e+06
9248	0	8	1	0	16	193	0	1	1	1.43727e+06
9248	0	8	2	0	16	193	0	1	1	2.82103e+06
9248	0	9	1	0	16	193	0	1	1	801389
9248	0	9	2	0	16	193	0	1	1	1.43727e+06
9248	0	10	1	0	16	193	0	1	1	478706
9248	0	10	2	0	16	193	0	1	1	801389
9248	0	11	1	0	16	193	0	1	1	12.6725
9248	0	11	2	0	16	193	0	1	1	12.6974
9256	0	3	1	0	16	193	1	0	1	3.44867e+08
9256	0	3	2	0	16	193	1	0	1	7.15411e+09
9256	0	4	1	0	16	193	1	0	1	5.8521e+07
9256	0	4	2	0	16	193	1	0	1	3.44867e+08
9256	0	5	1	0	16	193	1	0	1	1.66245e+07
9256	0	5	2	0	16	193	1	0	1	5.8521e+07
9256	0	6	1	0	16	193	1	0	1	6.26324e+06
9256	0	6	2	0	16	193	1	0	1	1.66245e+07
9256	0	7	1	0	16	193	1	0	1	2.82103e+06
9256	0	7	2	0	16	193	1	0	1	6.26324e+06
9256	0	8	1	0	16	193	1	0	1	1.43727e+06
9256	0	8	2	0	16	193	1	0	1	2.82103e+06
9256	0	9	1	0	16	193	1	0	1	801389
9256	0	9	2	0	16	193	1	0	1	1.43727e+06
9256	0	10	1	0	16	193	1	0	1	478706
9256	0	10	2	0	16	193	1	0	1	801389
9256	0	11	1	0	16	193	1	0	1	12.6725
9256	0	11	2	0	16	193	1	0	1	12.6974
9264	0	3	1	0	16	193	2	0	1	3.44867e+08
9264	0	3	2	0	16	193	2	0	1	7.15411e+09
9264	0	4	1	0	16	193	2	0	1	5.8521e+07
9264	0	4	2	0	16	193	2	0	1	3.44867e+08
9264	0	5	1	0	16	193	2	0	1	1.66245e+07
9264	0	5	2	0	16	193	2	0	1	5.8521e+07
9264	0	6	1	0	16	193	2	0	1	6.26324e+06
9264	0	6	2	0	16	193	2	0	1	1.66245e+07
9264	0	7	1	0	16	193	2	0	1	2.82103e+06
9264	0	7	2	0	16	193	2	0	1	6.26324e+06
9264	0	8	1	0	16	193	2	0	1	1.43727e+06
9264	0	8	2	0	16	193	2	0	1	2.82103e+06
9264	0	9	1	0	16	193	2	0	1	801389
9264	0	9	2	0	16	193	2	0	1	1.43727e+06
9264	0	10	1	0	16	193	2	0	1	478706
9264	0	10	2	0	16	193	2	0	1	801389
9264	0	11	1	0	16	193	2	0	1	12.6725
9264	0	11	2	0	16	193	2	0	1	12.6974
9272	0	3	1	0	16	193	3	0	1	3.44867e+08
9272	0	3	2	0	16	193	3	0	1	7.15411e+09
9272	0	4	1	0	16	193	3	0	1	5.8521e+07
9272	0	4	2	0	16	193	3	0	1	3.44867e+08
9272	0	5	1	0	16	193	3	0	1	1.66245e+07
9272	0	5	2	0	16	193	3	0	1	5.8521e+07
9272	0	6	1	0	16	193	3	0	1	6.26324e+06
9272	0	6	2	0	16	193	3	0	1	1.66245e+07
9272	0	7	1	0	16	193	3	0	1	2.82103e+06
9272	0	7	2	0	16	193	3	0	1	6.26324e+06
9272	0	8	1	0	16	193	3	0	1	1.43727e+06
9272	0	8	2	0	16	193	3	0	1	2.82103e+06
9272	0	9	1	0	16	193	3	0	1	801389
9272	0	9	2	0	16	193	3	0	1	1.43727e+06
9272	0	10	1	0	16	193	3	0	1	478706
9272	0	10	2	0	16	193	3	0	1	801389
9272	0	11	1	0	16	193	3	0	1	12.6725
9272	0	11	2	0	16	193	3	0	1	12.6974
9328	0	3	1	0	16	193	0	1	1	3.44867e+08
9328	0	3	2	0	16	193	0	1	1	7.15411e+09
9328	0	4	1	0	16	193	0	1	1	5.8521e+07
9328	0	4	2	0	16	193	0	1	1	3.44867e+08
9328	0	5	1	0	16	193	0	1	1	1.66245e+07
9328	0	5	2	0	16	193	0	1	1	5.8521e+07
9328	0	6	1	0	16	193	0	1	1	6.26324e+06
9328	0	6	2	0	16	193	0	1	1	1.66245e+07
9328	0	7	1	0	16	193	0	1	1	2.82103e+06
9328	0	7	2	0	16	193	0	1	1	6.26324e+06
9328	0	8	1	0	16	193	0	1	1	1.43727e+06
9328	0	8	2	0	16	193	0	1	1	2.82103e+06
9328	0	9	1	0	16	193	0	1	1	801389
9328	0	9	2	0	16	193	0	1	1	1.43727e+06
9328	0	10	1	0	16	193	0	1	1	478706
9328	0	10	2	0	16	193	0	1	1	801389
9328	0	11	1	0	16	193	0	1	1	12.6725
9328	0	11	2	0	16	193	0	1	1	12.6974
9336	0	3	1	0	16	193	1	0	1	3.44867e+08
9336	0	3	2	0	16	193	1	0	1	7.15411e+09
9336	0	4	1	0	16	193	1	0	1	5.8521e+07
9336	0	4	2	0	16	193	1	0	1	3.44867e+08
9336	0	5	1	0	16	193	1	0	1	1.66245e+07
9336	0	5	2	0	16	193	1	0	1	5.8521e+07
9336	0	6	1	0	16	193	1	0	1	6.26324e+06
9336	0	6	2	0	16	193	1	0	1	1.66245e+07
9336	0	7	1	0	16	193	1	0	1	2.82103e+06
9336	0	7	2	0	16	193	1	0	1	6.26324e+06
9336	0	8	1	0	16	193	1	0	1	1.43727e+06
9336	0	8	2	0	16	193	1	0	1	2.82103e+06
9336	0	9	1	0	16	193	1	0	1	801389
9336	0	9	2	0	16	193	1	0	1	1.43727e+06
9336	0	10	1	0	16	193	1	0	1	478706
9336	0	10	2	0	16	193	1	0	1	801389
9336	0	11	1	0	16	193	1	0	1	12.6725
9336	0	11	2	0	16	193	1	0	1	12.6974
9344	0	3	1	0	16	193	2	0	1	3.44867e+08
9344	0	3	2	0	16	193	2	0	1	7.15411e+09
9344	0	4	1	0	16	193	2	0	1	5.8521e+07
9344	0	4	2	0	16	193	2	0	1	3.44867e+08
9344	0	5	1	0	16	193	2	0	1	1.66245e+07
9344	0	5	2	0	16	193	2	0	1	5.8521e+07
