% time	cellId	IMSI	RNTI	frame	sframe	resPscch	pscchFr1	pscchSf1	pscchFr2	pscchSf2	mcs	TBS	psschRB	psschLen	psschItrp
2836	0	3	3	285	1	170	285	3	285	4	16	193	6	5	0
2836	0	4	4	285	1	86	285	3	285	7	16	193	25	5	0
2836	0	5	5	285	1	85	285	2	285	6	16	193	4	5	0
2836	0	6	6	285	1	90	285	3	285	8	16	193	21	5	0
2836	0	7	7	285	1	145	285	2	285	7	16	193	18	5	0
2836	0	8	8	285	1	67	285	4	285	6	16	193	6	5	0
2836	0	9	9	285	1	32	285	1	285	6	16	193	1	5	0
2836	0	10	10	285	1	44	285	3	285	5	16	193	23	5	0
2836	0	11	11	285	1	132	285	5	285	8	16	193	3	5	0
2916	0	1	1	293	1	111	293	7	293	8	16	193	11	5	0
2916	0	2	2	293	1	26	293	3	293	7	16	193	45	5	0
2916	0	3	3	293	1	106	293	2	293	3	16	193	43	5	0
2916	0	4	4	293	1	138	293	3	293	7	16	193	3	5	0
2916	0	5	5	293	1	168	293	1	293	2	16	193	2	5	0
2916	0	6	6	293	1	77	293	1	293	6	16	193	34	5	0
2916	0	7	7	293	1	48	293	1	293	8	16	193	13	5	0
2916	0	8	8	293	1	132	293	5	293	8	16	193	45	5	0
2916	0	9	9	293	1	27	293	4	293	8	16	193	28	5	0
2916	0	10	10	293	1	64	293	1	293	3	16	193	45	5	0
2916	0	11	11	293	1	133	293	1	293	6	16	193	18	5	0
2996	0	1	1	301	1	12	301	5	301	7	16	193	41	5	0
2996	0	2	2	301	1	35	301	1	301	4	16	193	41	5	0
2996	0	3	3	301	1	97	301	2	301	8	16	193	12	5	0
2996	0	4	4	301	1	15	301	2	301	8	16	193	12	5	0
2996	0	5	5	301	1	20	301	5	301	8	16	193	37	5	0
2996	0	6	6	301	1	82	301	3	301	7	16	193	30	5	0
2996	0	7	7	301	1	146	301	3	301	8	16	193	9	5	0
2996	0	8	8	301	1	66	301	3	301	5	16	193	13	5	0
2996	0	9	9	301	1	36	301	2	301	5	16	193	24	5	0
2996	0	10	10	301	1	5	301	6	301	7	16	193	31	5	0
2996	0	11	11	301	1	51	301	3	301	4	16	193	21	5	0
3036	0	1	1	305	1	57	305	2	305	3	16	193	38	5	0
3036	0	2	2	305	1	2	305	3	305	4	16	193	32	5	0
3036	0	3	3	305	1	69	305	6	305	8	16	193	30	5	0
3036	0	4	4	305	1	155	305	2	305	4	16	193	20	5	0
3036	0	5	5	305	1	101	305	4	305	6	16	193	44	5	0
3036	0	6	6	305	1	22	305	2	305	7	16	193	23	5	0
3036	0	7	7	305	1	48	305	1	305	8	16	193	0	5	0
3036	0	8	8	305	1	168	305	1	305	2	16	193	10	5	0
3036	0	9	9	305	1	172	305	5	305	6	16	193	19	5	0
3036	0	10	10	305	1	86	305	3	305	7	16	193	32	5	0
3036	0	11	11	305	1	98	305	1	305	3	16	193	40	5	0
3116	0	1	1	313	1	3	313	4	313	5	16	193	15	5	0
3116	0	2	2	313	1	11	313	4	313	6	16	193	15	5	0
3116	0	3	3	313	1	64	313	1	313	3	16	193	1	5	0
3116	0	4	4	313	1	59	313	4	313	5	16	193	1	5	0
3116	0	5	5	313	1	170	313	3	313	4	16	193	15	5	0
3116	0	6	6	313	1	69	313	6	313	8	16	193	30	5	0
3116	0	7	7	313	1	82	313	3	313	7	16	193	14	5	0
3116	0	8	8	313	1	163	313	3	313	4	16	193	15	5	0
3116	0	9	9	313	1	164	313	4	313	5	16	193	7	5	0
3116	0	10	10	313	1	74	313	3	313	6	16	193	30	5	0
3116	0	11	11	313	1	20	313	5	313	8	16	193	13	5	0
3156	0	1	1	317	1	34	317	3	317	8	16	193	2	5	0
3156	0	2	2	317	1	164	317	4	317	5	16	193	41	5	0
3156	0	3	3	317	1	155	317	2	317	4	16	193	28	5	0
3156	0	4	4	317	1	85	317	2	317	6	16	193	43	5	0
3156	0	5	5	317	1	46	317	5	317	7	16	193	32	5	0
3156	0	6	6	317	1	18	317	3	317	6	16	193	6	5	0
3156	0	7	7	317	1	81	317	2	317	6	16	193	25	5	0
3156	0	8	8	317	1	61	317	6	317	7	16	193	20	5	0
3156	0	9	9	317	1	76	317	5	317	8	16	193	28	5	0
3156	0	10	10	317	1	50	317	2	317	3	16	193	10	5	0
3156	0	11	11	317	1	60	317	5	317	6	16	193	4	5	0
3236	0	1	1	325	1	116	325	5	325	6	16	193	29	5	0
3236	0	2	2	325	1	97	325	2	325	8	16	193	28	5	0
3236	0	3	3	325	1	24	325	1	325	5	16	193	31	5	0
3236	0	4	4	325	1	151	325	5	325	8	16	193	45	5	0
3236	0	5	5	325	1	81	325	2	325	6	16	193	7	5	0
3236	0	6	6	325	1	170	325	3	325	4	16	193	35	5	0
3236	0	7	7	325	1	125	325	6	325	8	16	193	36	5	0
3236	0	8	8	325	1	0	325	1	325	2	16	193	32	5	0
3236	0	9	9	325	1	120	325	1	325	3	16	193	6	5	0
3236	0	10	10	325	1	72	325	1	325	4	16	193	9	5	0
3236	0	11	11	325	1	147	325	1	325	4	16	193	42	5	0
3316	0	1	1	333	1	38	333	4	333	7	16	193	44	5	0
3316	0	2	2	333	1	33	333	2	333	7	16	193	30	5	0
3316	0	3	3	333	1	153	333	2	333	8	16	193	32	5	0
3316	0	4	4	333	1	144	333	1	333	6	16	193	0	5	0
3316	0	5	5	333	1	147	333	1	333	4	16	193	45	5	0
3316	0	6	6	333	1	8	333	1	333	3	16	193	2	5	0
3316	0	7	7	333	1	86	333	3	333	7	16	193	32	5	0
3316	0	8	8	333	1	34	333	3	333	8	16	193	26	5	0
3316	0	9	9	333	1	129	333	2	333	5	16	193	0	5	0
3316	0	10	10	333	1	136	333	1	333	5	16	193	11	5	0
3316	0	11	11	333	1	81	333	2	333	6	16	193	11	5	0
3356	0	1	1	337	1	140	337	1	337	5	16	193	35	5	0
3356	0	2	2	337	1	156	337	3	337	5	16	193	21	5	0
3356	0	3	3	337	1	88	337	1	337	6	16	193	41	5	0
3356	0	4	4	337	1	66	337	3	337	5	16	193	38	5	0
3356	0	5	5	337	1	134	337	2	337	7	16	193	24	5	0
3356	0	6	6	337	1	167	337	7	337	8	16	193	14	5	0
3356	0	7	7	337	1	127	337	2	337	8	16	193	37	5	0
3356	0	8	8	337	1	131	337	4	337	7	16	193	20	5	0
3356	0	9	9	337	1	167	337	7	337	8	16	193	16	5	0
3356	0	10	10	337	1	138	337	3	337	7	16	193	16	5	0
3356	0	11	11	337	1	47	337	6	337	8	16	193	39	5	0
3436	0	1	1	345	1	80	345	1	345	5	16	193	45	5	0
3436	0	2	2	345	1	25	345	2	345	6	16	193	22	5	0
3436	0	3	3	345	1	109	345	5	345	6	16	193	2	5	0
3436	0	4	4	345	1	118	345	7	345	8	16	193	14	5	0
3436	0	5	5	345	1	11	345	4	345	6	16	193	12	5	0
3436	0	6	6	345	1	127	345	2	345	8	16	193	31	5	0
3436	0	7	7	345	1	42	345	1	345	3	16	193	8	5	0
3436	0	8	8	345	1	4	345	5	345	6	16	193	1	5	0
3436	0	9	9	345	1	64	345	1	345	3	16	193	4	5	0
3436	0	10	10	345	1	4	345	5	345	6	16	193	39	5	0
3436	0	11	11	345	1	149	345	3	345	6	16	193	25	5	0
3476	0	1	1	349	1	158	349	5	349	7	16	193	3	5	0
3476	0	2	2	349	1	6	349	7	349	8	16	193	10	5	0
3476	0	3	3	349	1	22	349	2	349	7	16	193	18	5	0
3476	0	4	4	349	1	58	349	3	349	4	16	193	14	5	0
3476	0	5	5	349	1	82	349	3	349	7	16	193	26	5	0
3476	0	6	6	349	1	145	349	2	349	7	16	193	19	5	0
3476	0	7	7	349	1	5	349	6	349	7	16	193	19	5	0
3476	0	8	8	349	1	109	349	5	349	6	16	193	14	5	0
3476	0	9	9	349	1	82	349	3	349	7	16	193	27	5	0
3476	0	10	10	349	1	66	349	3	349	5	16	193	38	5	0
3476	0	11	11	349	1	73	349	2	349	5	16	193	35	5	0
3556	0	1	1	357	1	57	357	2	357	3	16	193	35	5	0
3556	0	2	2	357	1	38	357	4	357	7	16	193	36	5	0
3556	0	3	3	357	1	108	357	4	357	5	16	193	14	5	0
3556	0	4	4	357	1	0	357	1	357	2	16	193	1	5	0
3556	0	5	5	357	1	107	357	3	357	4	16	193	40	5	0
3556	0	6	6	357	1	160	357	1	357	8	16	193	40	5	0
3556	0	7	7	357	1	168	357	1	357	2	16	193	36	5	0
3556	0	8	8	357	1	27	357	4	357	8	16	193	1	5	0
3556	0	9	9	357	1	52	357	4	357	5	16	193	12	5	0
3556	0	10	10	357	1	137	357	2	357	6	16	193	9	5	0
3556	0	11	11	357	1	119	357	1	357	8	16	193	39	5	0
3636	0	1	1	365	1	44	365	3	365	5	16	193	34	5	0
3636	0	2	2	365	1	145	365	2	365	7	16	193	19	5	0
3636	0	3	3	365	1	126	365	1	365	7	16	193	4	5	0
3636	0	4	4	365	1	104	365	1	365	8	16	193	1	5	0
3636	0	5	5	365	1	163	365	3	365	4	16	193	12	5	0
3636	0	6	6	365	1	64	365	1	365	3	16	193	40	5	0
3636	0	7	7	365	1	172	365	5	365	6	16	193	1	5	0
3636	0	8	8	365	1	42	365	1	365	3	16	193	0	5	0
3636	0	9	9	365	1	18	365	3	365	6	16	193	8	5	0
3636	0	10	10	365	1	98	365	1	365	3	16	193	27	5	0
3636	0	11	11	365	1	13	365	6	365	8	16	193	38	5	0
3676	0	1	1	369	1	33	369	2	369	7	16	193	16	5	0
3676	0	2	2	369	1	120	369	1	369	3	16	193	33	5	0
3676	0	3	3	369	1	46	369	5	369	7	16	193	24	5	0
3676	0	4	4	369	1	37	369	3	369	6	16	193	11	5	0
3676	0	5	5	369	1	106	369	2	369	3	16	193	40	5	0
3676	0	6	6	369	1	39	369	5	369	8	16	193	35	5	0
3676	0	7	7	369	1	80	369	1	369	5	16	193	28	5	0
3676	0	8	8	369	1	100	369	3	369	5	16	193	11	5	0
