Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
177.569	f4.8	54	5	FullDelay	0.275196	275196	1	2
177.809	f3.4	53	5	FullDelay	0.229456	229456	1	2
178.329	f4.8	54	6	FullDelay	0.223071	223071	1	2
178.529	f3.4	53	6	FullDelay	0.211327	211327	1	2
178.945	f2.8	52	7	FullDelay	0.567859	567859	1	4
179.329	f3.4	53	7	FullDelay	0.239572	239572	1	2
179.689	f4.8	54	7	FullDelay	0.231104	231104	1	2
179.817	f2.8	52	8	FullDelay	0.457916	457916	1	2
180.409	f3.4	53	8	FullDelay	0.402932	402932	1	3
180.657	f2.8	52	9	FullDelay	0.316912	316912	1	2
180.673	f1.4	51	6	FullDelay	0.418699	418699	1	2
180.849	f7.4	57	2	FullDelay	0.232643	232643	1	2
181.129	f8.8	58	3	FullDelay	0.252237	252237	1	2
181.329	f4.8	54	9	FullDelay	0.214775	214775	1	2
181.529	f3.4	53	9	FullDelay	0.289536	289536	1	2
181.649	f2.8	52	10	FullDelay	0.233803	233803	1	2
181.769	f8.8	58	4	FullDelay	0.273221	273221	1	2
181.969	f5.4	55	10	FullDelay	0.20859	208590	1	2
182.289	f4.8	54	10	FullDelay	0.277135	277135	1	2
183.529	f7.4	57	5	FullDelay	0.2568	256800	1	2
183.529	f5.4	55	12	FullDelay	0.235746	235746	1	2
183.849	f2.8	52	12	FullDelay	0.279883	279883	1	2
184.329	f8.7	50	21	FullDelay	0.291468	291468	1	2
184.489	f7.4	57	6	FullDelay	0.21775	217750	1	2
184.929	f8.8	58	7	FullDelay	0.220457	220457	1	2
185.249	f8.7	50	22	FullDelay	0.90626	906260	1	2
185.369	f6.8	56	11	FullDelay	0.377254	377254	1	2
185.993	f8.7	50	23	FullDelay	0.633469	633469	1	2
186.209	f4.8	54	13	FullDelay	0.749353	749353	1	2
186.689	f8.7	50	24	FullDelay	0.273514	273514	1	2
187.889	f3.4	53	14	FullDelay	0.728589	728589	1	2
188.009	f4.8	54	15	FullDelay	0.705293	705293	1	2
188.609	f8.7	50	26	FullDelay	0.378355	378355	1	2
189.569	f4.8	54	17	FullDelay	0.246389	246389	1	2
189.889	f8.7	50	27	FullDelay	0.412947	412947	1	2
190.473	f8.8	58	12	FullDelay	0.247809	247809	1	2
191.865	f7.4	57	12	FullDelay	0.751179	751179	1	4
192.209	f8.7	50	29	FullDelay	0.754151	754151	1	3
192.769	f7.4	57	13	FullDelay	0.531959	531959	1	2
192.937	f8.8	58	14	FullDelay	0.811475	811475	1	3
193.849	f8.8	58	15	FullDelay	0.454629	454629	1	3
194.257	f7.4	57	14	FullDelay	0.782631	782631	1	2
195.089	f7.4	57	15	FullDelay	0.765468	765468	1	3
195.569	f7.4	57	16	FullDelay	0.250691	250691	1	2
195.729	f8.8	58	17	FullDelay	0.556948	556948	1	2
196.249	f7.4	57	17	FullDelay	0.241066	241066	1	2
